english,russian,transcription,example,category,level
buy,покупать,[baɪ],We've been buying for hours,Бизнес и экономика,A1
sell,продавать,[sɛl],She has selled many times,Бизнес и экономика,A1
deal,вести дела,[diːl],The powerful deal transformed lives,Бизнес и экономика,A1
produce,производить,[prəˈdjuːs],I will produce tomorrow,Бизнес и экономика,B1
save,делать сбережения,[seɪv],This unique save stands out,Бизнес и экономика,A1
rule,править,[ruːl],I rule every chance I get,Бизнес и экономика,A1
elect,выбирать,[ɪˈlɛkt],She elects more than anyone I know,Бизнес и экономика,B2
vote,голосовать,[vəʊt],They voteed all night long,Бизнес и экономика,B2
contribute,вносить вклад во что-то,[kənˈtrɪbju(ː)t],This contribute belongs to my friend,Бизнес и экономика,B2
settle,расселяться,[ˈsɛtl],Every settle tells its own story,Бизнес и экономика,A2
impose,налагать,[ɪmˈpəʊz],You need to impose carefully,Бизнес и экономика,C1
transfer,передавать,[trænsˈfɜː],Please transfer when you're ready,Бизнес и экономика,B1
distribute,распространять,[dɪsˈtrɪbju(ː)t],Don't distribute unless absolutely necessary,Бизнес и экономика,B2
deposit,вносить деньги,[dɪpˈɒzɪtɪ],Their deposit costs a fortune,Бизнес и экономика,B1
afford,повзволять себе,[əˈfɔːd],A good afford makes all the difference,Бизнес и экономика,A2
price,цена,[praɪs],The best price I've ever seen,Бизнес и экономика,A1
tax,налог,[tæks],That tax reminds me of home,Бизнес и экономика,A1
cost,стоимость,[kɒst],This cost comes from abroad,Бизнес и экономика,A1
product,продукт,[ˈprɒdʌkt],The old product still works perfectly,Бизнес и экономика,B1
organization,организация,[ˌɔːgənaɪˈzeɪʃən],A new organization would be nice,Бизнес и экономика,C1
economy,экономика,[i(ː)ˈkɒnəmi],The economy broke down yesterday,Бизнес и экономика,B1
bank,банк,[bæŋk],My favorite bank is missing,Бизнес и экономика,A1
agency,агентство,[ˈeɪʤənsi],Her agency won first prize,Бизнес и экономика,A2
store,магазин,[stɔː],The store speaks for itself,Бизнес и экономика,A2
fund,фонд,[fʌnd],Every fund has its purpose,Бизнес и экономика,A1
stock,акция,[stɒk],The stock exceeded expectations,Бизнес и экономика,A2
loss,ущерб,[lɒs],Our loss brings joy daily,Бизнес и экономика,A1
trade,торговля,[treɪd],That trade holds special meaning,Бизнес и экономика,A2
deal,сделка,[diːl],The deal represents hope,Бизнес и экономика,A1
bill,счет,[bɪl],This bill symbolizes freedom,Бизнес и экономика,A1
benefit,выгода,[ˈbɛnɪfɪt],A rare benefit was discovered,Бизнес и экономика,B1
firm,фирма,[fɜːm],The ancient firm survived centuries,Бизнес и экономика,A1
management,управление,[ˈmænɪʤmənt],The modern management is innovative,Бизнес и экономика,B2
charge,плата,[ʧɑːʤ],A perfect charge is hard to find,Бизнес и экономика,A2
property,собственность,[ˈprɒpəti],The property inspires creativity,Бизнес и экономика,B1
base,база,[beɪs],Our base promotes unity,Бизнес и экономика,A1
owner,владелец,[ˈəʊnə],The owner offers opportunities,Бизнес и экономика,A2
investment,инвестиции,[ɪnˈvɛstmənt],This investment requires attention,Бизнес и экономика,B2
consumer,потребитель,[kənˈsjuːmə],The consumer deserves recognition,Бизнес и экономика,B1
budget,бюджет,[ˈbʌʤɪt],Every budget contains wisdom,Бизнес и экономика,A2
agreement,соглашение,[əˈgriːmənt],The agreement provides comfort,Бизнес и экономика,B2
capital,капитал,[ˈkæpɪtl],A beautiful capital emerged,Бизнес и экономика,B1
account,счет,[əˈkaʊnt],The powerful account transformed lives,Бизнес и экономика,B1
credit,кредит,[ˈkrɛdɪt],The delicate credit needs care,Бизнес и экономика,A2
income,доход,[ˈɪnkʌm],This unique income stands out,Бизнес и экономика,A2
insurance,страхование,[ɪnˈʃʊərəns],The insurance is absolutely essential,Бизнес и экономика,B2
sales,продажи,[seɪlz],My sales needs replacing soon,Бизнес и экономика,A2
contract,контракт,[ˈkɒntrækt],Her contract caught everyone's attention,Бизнес и экономика,B1
demand,спрос,[dɪˈmɑːnd],This demand belongs to my friend,Бизнес и экономика,A2
share,доля,[ʃeə],Every share tells its own story,Бизнес и экономика,A2
competition,конкуренция,[ˌkɒmpɪˈtɪʃən],The competition arrived right on time,Бизнес и экономика,C1
